City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nikolskoye,RU,59.92,scattered clouds,59.7035,30.7861,
1,Padang,ID,77.63,overcast clouds,-0.9492,100.3543,
2,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,
3,La Ronge,CA,57.45,scattered clouds,55.1001,-105.2842,
4,Rikitea,PF,72.07,clear sky,-23.1203,-134.9692,
5,Zhigansk,RU,35.17,overcast clouds,66.7697,123.3711,
6,Bredasdorp,ZA,54.39,overcast clouds,-34.5322,20.0403,
7,Nizhnevartovsk,RU,37.02,mist,60.9344,76.5531,
8,Yellowknife,CA,43.32,broken clouds,62.456,-114.3525,
9,Busselton,AU,55.17,scattered clouds,-33.65,115.3333,
10,Albany,US,72.37,overcast clouds,42.6001,-73.9662,
11,Svetlogorsk,BY,52.43,overcast clouds,52.6333,29.7333,
12,Ushuaia,AR,42.46,light rain,-54.8,-68.3,
13,Koilas,GR,86.59,clear sky,37.4095,23.1147,
14,Namatanai,PG,78.44,clear sky,-3.6667,152.4333,
15,Paamiut,GL,42.8,light rain,61.994,-49.6678,
16,Ponta Do Sol,PT,83.01,overcast clouds,32.6667,-17.1,
17,Teguise,ES,71.82,few clouds,29.0605,-13.564,
18,Jamestown,US,65.79,light rain,42.097,-79.2353,
19,Vestmannaeyjar,IS,58.19,few clouds,63.4427,-20.2734,
20,Geraldton,AU,54.01,clear sky,-28.7667,114.6,
21,Saskylakh,RU,32.92,overcast clouds,71.9167,114.0833,
22,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,
23,Airai,TL,58.26,broken clouds,-8.9266,125.4092,
24,Odweyne,SO,74.03,broken clouds,9.4092,45.064,
25,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,
26,Syke,DE,71.02,clear sky,52.9,8.8333,
27,Avarua,CK,73.45,few clouds,-21.2078,-159.775,
28,Colares,PT,79.32,light rain,38.7992,-9.4469,
29,Tuktoyaktuk,CA,35.6,light intensity drizzle,69.4541,-133.0374,
30,Maple Creek,CA,68.05,clear sky,49.9168,-109.4848,
31,Arraial Do Cabo,BR,73.26,overcast clouds,-22.9661,-42.0278,
32,Cape Town,ZA,61.21,few clouds,-33.9258,18.4232,
33,Saint-Augustin,CA,68.09,clear sky,51.226,-58.6502,
34,Ishigaki,JP,78.93,moderate rain,24.3448,124.1572,
35,New Norfolk,AU,42.3,broken clouds,-42.7826,147.0587,
36,Carnarvon,AU,67.6,broken clouds,-24.8667,113.6333,
37,Kapaa,US,73.38,light rain,22.0752,-159.319,
38,Mecca,SA,93.11,few clouds,21.4267,39.8261,
39,Luziania,BR,92.98,broken clouds,-16.2525,-47.9503,
40,Luang Prabang,LA,73.49,overcast clouds,19.8856,102.1347,
41,Port Alfred,ZA,62.19,overcast clouds,-33.5906,26.891,
42,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,
43,Brooks,CA,51.78,clear sky,50.5834,-111.8851,
44,Wanning,CN,78.58,clear sky,18.8003,110.3967,
