City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Nikolskoye,59.7035,30.7861,59.92,64,44,4.09,RU,scattered clouds
1,Padang,-0.9492,100.3543,77.63,81,96,2.66,ID,overcast clouds
2,Ribeira Grande,38.5167,-28.7,73.8,73,40,20.71,PT,scattered clouds
3,La Ronge,55.1001,-105.2842,57.45,67,40,6.91,CA,scattered clouds
4,Rikitea,-23.1203,-134.9692,72.07,75,5,8.41,PF,clear sky
5,Zhigansk,66.7697,123.3711,35.17,80,99,4.36,RU,overcast clouds
6,Bredasdorp,-34.5322,20.0403,54.39,68,96,10.25,ZA,overcast clouds
7,Nizhnevartovsk,60.9344,76.5531,37.02,100,20,0.0,RU,mist
8,Yellowknife,62.456,-114.3525,43.32,81,75,16.11,CA,broken clouds
9,Busselton,-33.65,115.3333,55.17,83,27,4.34,AU,scattered clouds
10,Albany,42.6001,-73.9662,72.37,78,100,1.99,US,overcast clouds
11,Svetlogorsk,52.6333,29.7333,52.43,96,100,13.8,BY,overcast clouds
12,Ushuaia,-54.8,-68.3,42.46,70,75,29.93,AR,light rain
13,Koilas,37.4095,23.1147,86.59,56,0,6.6,GR,clear sky
14,Namatanai,-3.6667,152.4333,78.44,72,8,10.47,PG,clear sky
15,Paamiut,61.994,-49.6678,42.8,92,100,20.78,GL,light rain
16,Ponta Do Sol,32.6667,-17.1,83.01,83,100,9.84,PT,overcast clouds
17,Teguise,29.0605,-13.564,71.82,78,20,5.75,ES,few clouds
18,Jamestown,42.097,-79.2353,65.79,74,100,6.91,US,light rain
19,Vestmannaeyjar,63.4427,-20.2734,58.19,72,20,18.41,IS,few clouds
20,Geraldton,-28.7667,114.6,54.01,94,0,9.22,AU,clear sky
21,Saskylakh,71.9167,114.0833,32.92,87,98,6.17,RU,overcast clouds
22,Port Elizabeth,-33.918,25.5701,61.11,86,75,20.71,ZA,light rain
23,Airai,-8.9266,125.4092,58.26,90,51,2.33,TL,broken clouds
24,Odweyne,9.4092,45.064,74.03,65,74,12.75,SO,broken clouds
25,Mar Del Plata,-38.0023,-57.5575,62.62,72,0,11.5,AR,clear sky
26,Syke,52.9,8.8333,71.02,46,0,9.22,DE,clear sky
27,Avarua,-21.2078,-159.775,73.45,83,20,6.91,CK,few clouds
28,Colares,38.7992,-9.4469,79.32,76,75,8.99,PT,light rain
29,Tuktoyaktuk,69.4541,-133.0374,35.6,93,100,3.44,CA,light intensity drizzle
30,Maple Creek,49.9168,-109.4848,68.05,26,0,10.36,CA,clear sky
31,Arraial Do Cabo,-22.9661,-42.0278,73.26,68,100,11.5,BR,overcast clouds
32,Cape Town,-33.9258,18.4232,61.21,56,20,17.27,ZA,few clouds
33,Saint-Augustin,51.226,-58.6502,68.09,42,0,7.02,CA,clear sky
34,Ishigaki,24.3448,124.1572,78.93,100,100,48.34,JP,moderate rain
35,New Norfolk,-42.7826,147.0587,42.3,80,64,1.99,AU,broken clouds
36,Carnarvon,-24.8667,113.6333,67.6,72,55,9.37,AU,broken clouds
37,Kapaa,22.0752,-159.319,73.38,92,40,6.91,US,light rain
38,Mecca,21.4267,39.8261,93.11,44,17,8.52,SA,few clouds
39,Luziania,-16.2525,-47.9503,92.98,14,76,7.92,BR,broken clouds
40,Luang Prabang,19.8856,102.1347,73.49,94,100,0.67,LA,overcast clouds
41,Port Alfred,-33.5906,26.891,62.19,82,100,5.99,ZA,overcast clouds
42,Saint-Philippe,-21.3585,55.7679,71.19,78,14,10.11,RE,few clouds
43,Brooks,50.5834,-111.8851,51.78,66,0,5.75,CA,clear sky
44,Wanning,18.8003,110.3967,78.58,83,10,1.61,CN,clear sky
45,Aras,42.5617,-2.356,93.63,31,0,10.36,ES,clear sky
46,Okha,53.5739,142.9478,49.8,63,100,0.74,RU,overcast clouds
47,Bandarbeyla,9.4942,50.8122,78.37,81,7,32.26,SO,clear sky
48,Kysyl-Syr,63.8986,122.7617,32.5,86,43,1.5,RU,scattered clouds
49,Kushima,31.4583,131.2333,76.23,94,84,6.44,JP,broken clouds
50,Saint George,37.1041,-113.5841,77.79,55,40,0.0,US,scattered clouds
51,Seoul,37.5683,126.9778,69.4,94,75,3.44,KR,broken clouds
52,Tautira,-17.7333,-149.15,78.26,72,27,17.92,PF,light rain
53,Korla,41.7597,86.1469,83.68,15,76,6.11,CN,broken clouds
54,Mataura,-46.1927,168.8643,38.89,88,100,3.4,NZ,overcast clouds
55,Hami,42.8,93.45,84.27,15,0,9.19,CN,clear sky
56,Bethel,41.3712,-73.414,75.56,75,100,3.44,US,overcast clouds
57,Xudat,41.631,48.681,69.98,69,22,16.06,AZ,few clouds
58,Ankpa,7.3706,7.6253,74.23,83,99,7.49,NG,overcast clouds
59,Kaitangata,-46.2817,169.8464,41.72,93,100,4.09,NZ,overcast clouds
60,Severo-Kurilsk,50.6789,156.125,52.47,90,11,14.16,RU,few clouds
61,East London,-33.0153,27.9116,63.54,77,20,26.46,ZA,few clouds
62,Chuy,-33.6971,-53.4616,56.16,52,0,6.13,UY,clear sky
63,Hermanus,-34.4187,19.2345,57.79,67,94,13.11,ZA,overcast clouds
64,Roald,62.5833,6.1333,62.17,77,75,2.3,NO,broken clouds
65,Kungurtug,50.5994,97.5228,49.8,56,78,3.11,RU,broken clouds
66,Hilo,19.7297,-155.09,74.28,77,0,6.91,US,clear sky
67,Pacific Grove,36.6177,-121.9166,74.7,83,0,4.61,US,clear sky
68,Vanimo,-2.6741,141.3028,76.17,88,100,3.83,PG,overcast clouds
69,Burgeo,47.6167,-57.6152,65.97,70,8,27.18,CA,clear sky
70,College,64.8569,-147.8028,44.91,89,75,3.44,US,broken clouds
71,Georgetown,5.4112,100.3354,80.89,82,20,2.3,MY,few clouds
72,King City,36.2127,-121.126,81.91,62,94,1.03,US,overcast clouds
73,Port Lincoln,-34.7333,135.8667,51.24,84,35,4.72,AU,scattered clouds
74,Sobolevo,54.4299,31.8996,44.78,96,100,14.56,RU,overcast clouds
75,Qaanaaq,77.484,-69.3632,38.64,94,100,6.17,GL,overcast clouds
76,Tomatlan,19.9333,-105.25,84.49,75,99,1.34,MX,overcast clouds
77,Pisco,-13.7,-76.2167,64.02,72,10,6.91,PE,clear sky
78,Hobart,-42.8794,147.3294,42.66,80,75,11.5,AU,broken clouds
79,Malanje,-9.5402,16.341,87.46,22,57,2.8,AO,broken clouds
80,Alice Springs,-23.7,133.8833,57.22,26,75,8.05,AU,broken clouds
81,Khatanga,71.9667,102.5,34.88,75,100,7.27,RU,overcast clouds
82,Ati,13.2154,18.3353,95.32,36,1,8.79,TD,clear sky
83,Punta Arenas,-53.15,-70.9167,42.91,75,75,29.93,CL,light intensity shower rain
84,Kaduy,59.2,37.15,48.49,74,23,5.59,RU,few clouds
85,Quatre Cocos,-20.2078,57.7625,72.09,75,27,15.03,MU,scattered clouds
86,Lasa,46.6166,10.7002,70.36,44,24,4.63,IT,few clouds
87,Druzhba,52.0428,33.9453,46.27,93,100,17.56,UA,moderate rain
88,Bluff,-46.6,168.3333,45.45,78,100,10.87,NZ,overcast clouds
89,Dhidhdhoo,6.8833,73.1,80.35,84,100,14.09,MV,overcast clouds
90,Mehamn,71.0357,27.8492,44.55,87,75,2.3,NO,light rain
91,Kantunilkin,21.0917,-87.45,80.19,85,98,3.31,MX,overcast clouds
92,Tarazona,41.9,-1.7333,93.02,16,60,8.48,ES,broken clouds
93,Manaure,11.7751,-72.4445,90.68,56,100,14.5,CO,overcast clouds
94,Hazleton,40.9584,-75.9746,64.71,89,100,4.61,US,drizzle
95,Ada,43.4166,-116.1262,67.98,20,0,4.03,US,clear sky
96,Salinas,36.6777,-121.6555,77.76,74,0,4.61,US,clear sky
97,Rapid City,44.0805,-103.231,67.32,52,0,1.99,US,clear sky
98,San Andres,12.5847,-81.7006,86.02,79,75,12.66,CO,broken clouds
99,Vaini,-21.2,-175.2,71.76,94,20,4.61,TO,few clouds
100,Klungkung,-8.5333,115.4,77.68,86,54,2.89,ID,broken clouds
101,Mindelo,16.8901,-24.9804,78.76,77,9,16.82,CV,clear sky
102,Galle,6.0367,80.217,78.28,90,84,10.04,LK,broken clouds
103,Sitka,57.0531,-135.33,52.0,83,68,3.06,US,broken clouds
104,Pelym,61.0108,61.9978,40.35,86,67,3.06,RU,broken clouds
105,Lavumisa,-27.31,31.892,76.86,60,6,9.1,SZ,clear sky
106,Nadym,65.5333,72.5167,43.57,68,100,12.59,RU,overcast clouds
