City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,72.45,73,5,15.17,PF,2022-09-10 16:31:21
1,Kirakira,-10.4544,161.9205,77.86,87,32,7.34,SB,2022-09-10 16:31:22
2,Tamworth,52.634,-1.6959,71.02,71,99,5.01,GB,2022-09-10 16:28:09
3,Knysna,-34.0363,23.0471,58.77,77,99,5.82,ZA,2022-09-10 16:31:22
4,San Patricio,28.017,-97.5169,90.07,50,42,3.8,US,2022-09-10 16:31:22
5,La Asuncion,11.0333,-63.8628,87.53,62,17,16.11,VE,2022-09-10 16:31:23
6,Ostrovnoy,68.0531,39.5131,48.78,85,93,8.14,RU,2022-09-10 16:31:23
7,Tsuruga,35.6455,136.0558,75.63,91,48,2.37,JP,2022-09-10 16:31:24
8,Punta Arenas,-53.15,-70.9167,50.11,57,0,13.8,CL,2022-09-10 16:30:14
9,Kaitangata,-46.2817,169.8464,39.11,95,16,3.33,NZ,2022-09-10 16:31:24
10,Hamilton,39.1834,-84.5333,81.1,68,75,5.75,US,2022-09-10 16:31:04
11,Busselton,-33.65,115.3333,50.41,90,71,4.0,AU,2022-09-10 16:31:24
12,Alice Springs,-23.7,133.8833,57.22,26,100,0.0,AU,2022-09-10 16:31:25
13,Valparaiso,-33.0393,-71.6273,60.01,83,100,14.97,CL,2022-09-10 16:28:00
14,Constitucion,-35.3333,-72.4167,56.98,57,0,4.83,CL,2022-09-10 16:31:26
15,Bredasdorp,-34.5322,20.0403,56.95,69,80,11.83,ZA,2022-09-10 16:31:26
16,Pisco,-13.7,-76.2167,65.01,77,100,6.91,PE,2022-09-10 16:31:26
17,Mehamn,71.0357,27.8492,48.11,93,100,16.11,NO,2022-09-10 16:31:27
18,Leningradskiy,69.3833,178.4167,34.83,88,18,9.95,RU,2022-09-10 16:29:17
19,Vardo,70.3705,31.1107,49.98,76,100,10.36,NO,2022-09-10 16:31:27
20,Mataura,-46.1927,168.8643,36.57,98,16,2.57,NZ,2022-09-10 16:31:27
21,Tignere,7.3667,12.65,66.24,94,95,0.96,CM,2022-09-10 16:31:28
22,Kharp,66.8014,65.8081,35.71,90,83,5.19,RU,2022-09-10 16:31:28
23,Narsaq,60.9167,-46.05,55.62,52,17,5.57,GL,2022-09-10 16:31:28
24,Dingle,10.9995,122.6711,74.84,90,83,4.12,PH,2022-09-10 16:31:29
25,Khatanga,71.9667,102.5,32.9,95,100,9.31,RU,2022-09-10 16:31:29
26,Bluff,-46.6,168.3333,41.79,89,8,5.03,NZ,2022-09-10 16:31:29
27,Albany,42.6001,-73.9662,79.63,65,74,1.12,US,2022-09-10 16:27:31
28,Xifeng,42.7372,124.7222,65.25,86,100,2.39,CN,2022-09-10 16:31:30
